ts,datetime,MidPoint,MidPoint_500ms,MidPoint_1000ms
1345040249000000000,2012-08-15T09:17:29.000000000,2352.2,2352.1,2352.3
1345040249500000000,2012-08-15T09:17:29.500000000,2352.1,2352.3,2352.3
1345040250000000000,2012-08-15T09:17:30.000000000,2352.3,2352.3,2352.2
1345040250500000000,2012-08-15T09:17:30.500000000,2352.3,2352.2,2352.2
1345040251000000000,2012-08-15T09:17:31.000000000,2352.2,2352.2,2352.2
1345040251500000000,2012-08-15T09:17:31.500000000,2352.2,2352.2,2352.1
1345040252000000000,2012-08-15T09:17:32.000000000,2352.2,2352.1,2352.1
1345040252500000000,2012-08-15T09:17:32.500000000,2352.1,2352.1,2352.3
1345040253000000000,2012-08-15T09:17:33.000000000,2352.1,2352.3,2352.3
1345040253500000000,2012-08-15T09:17:33.500000000,2352.3,2352.3,2352.3
1345040254500000000,2012-08-15T09:17:34.500000000,2352.3,2352.1,2352.1
1345040255000000000,2012-08-15T09:17:35.000000000,2352.1,2352.1,2352.1
1345040255500000000,2012-08-15T09:17:35.500000000,2352.1,2352.1,2352.3
1345040256000000000,2012-08-15T09:17:36.000000000,2352.1,2352.3,2352.2
1345040256500000000,2012-08-15T09:17:36.500000000,2352.3,2352.2,2352.1
1345040257000000000,2012-08-15T09:17:37.000000000,2352.2,2352.1,2352.1
1345040257500000000,2012-08-15T09:17:37.500000000,2352.1,2352.1,2352.1
1345040258000000000,2012-08-15T09:17:38.000000000,2352.1,2352.1,2352.2
1345040258500000000,2012-08-15T09:17:38.500000000,2352.1,2352.2,2352.2
1345040259000000000,2012-08-15T09:17:39.000000000,2352.2,2352.2,2352.1
1345040259500000000,2012-08-15T09:17:39.500000000,2352.2,2352.1,2352.1
1345040260000000000,2012-08-15T09:17:40.000000000,2352.1,2352.1,2352.1
1345040260500000000,2012-08-15T09:17:40.500000000,2352.1,2352.1,2352.2
1345040261000000000,2012-08-15T09:17:41.000000000,2352.1,2352.2,2352.3
1345040261500000000,2012-08-15T09:17:41.500000000,2352.2,2352.3,2352.3
1345040262000000000,2012-08-15T09:17:42.000000000,2352.3,2352.3,2352.3
1345040262500000000,2012-08-15T09:17:42.500000000,2352.3,2352.3,2352.3
1345040263000000000,2012-08-15T09:17:43.000000000,2352.3,2352.3,2352.3
1345040263500000000,2012-08-15T09:17:43.500000000,2352.3,2352.3,2352.3
1345040264500000000,2012-08-15T09:17:44.500000000,2352.3,2352.3,2352.3
1345040265000000000,2012-08-15T09:17:45.000000000,2352.3,2352.3,2352.3
1345040265500000000,2012-08-15T09:17:45.500000000,2352.3,2352.3,2352.3
1345040266500000000,2012-08-15T09:17:46.500000000,2352.3,2352.3,2352.3
1345040267000000000,2012-08-15T09:17:47.000000000,2352.3,2352.3,2352.3
1345040267500000000,2012-08-15T09:17:47.500000000,2352.3,2352.3,2352.3
1345040268000000000,2012-08-15T09:17:48.000000000,2352.3,2352.3,2352.3
1345040268500000000,2012-08-15T09:17:48.500000000,2352.3,2352.3,2352.3
