pred_horizon_s,signal_thres,vol_thres,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
10,0.21,0.07,1393050,81,17196,0.29,1.03,55.66,-0.76,37.46,8532,-0.25,-0.97,56.56,0.79,37,8664
2,0.21,0.08,1607402,94,17024,0.32,0.54,71.64,-0.39,17.53,8452,-0.31,-0.53,71.71,0.41,16.76,8572
5,0.21,0.08,1362330,80,17024,0.27,0.77,59.65,-0.59,31.55,8452,-0.26,-0.73,60.3,0.59,30.14,8572
10,0.21,0.08,1386450,81,17024,0.29,1.04,55.69,-0.77,37.47,8452,-0.25,-0.97,56.59,0.8,37.07,8572
2,0.21,0.09,1591622,95,16799,0.32,0.54,71.74,-0.39,17.58,8347,-0.31,-0.53,71.68,0.41,16.86,8452
5,0.21,0.09,1347960,80,16799,0.27,0.77,59.66,-0.59,31.66,8347,-0.26,-0.73,60.28,0.59,30.32,8452
10,0.21,0.09,1371150,82,16799,0.29,1.04,55.67,-0.77,37.62,8347,-0.25,-0.97,56.68,0.8,37.1,8452
2,0.21,0.1,1575842,95,16538,0.32,0.54,71.82,-0.39,17.65,8211,-0.31,-0.53,71.77,0.41,16.93,8327
5,0.21,0.1,1331550,81,16538,0.27,0.78,59.62,-0.59,31.82,8211,-0.26,-0.74,60.2,0.6,30.46,8327
10,0.21,0.1,1354170,82,16538,0.29,1.05,55.68,-0.77,37.64,8211,-0.25,-0.98,56.62,0.81,37.2,8327
2,0.21,0.11,1554812,96,16203,0.32,0.55,71.82,-0.39,17.69,8056,-0.32,-0.54,71.79,0.41,17.09,8147
5,0.21,0.11,1311000,81,16203,0.28,0.78,59.6,-0.59,31.96,8056,-0.26,-0.75,60.02,0.6,30.7,8147
10,0.21,0.11,1333560,82,16203,0.29,1.06,55.67,-0.78,37.71,8056,-0.25,-0.99,56.46,0.81,37.47,8147
2,0.21,0.12,1524512,97,15777,0.33,0.55,71.77,-0.4,17.74,7831,-0.32,-0.54,71.86,0.41,17.27,7946
5,0.21,0.12,1285980,82,15777,0.28,0.79,59.57,-0.6,32.12,7831,-0.27,-0.75,60.03,0.61,30.81,7946
10,0.21,0.12,1305390,83,15777,0.3,1.07,55.69,-0.78,37.93,7831,-0.26,-1,56.38,0.82,37.65,7946
2,0.21,0.13,1488774,97,15345,0.33,0.56,71.65,-0.4,17.91,7627,-0.32,-0.54,71.75,0.41,17.43,7718
5,0.21,0.13,1256160,82,15345,0.28,0.8,59.63,-0.6,32.27,7627,-0.26,-0.76,59.83,0.61,31.03,7718
10,0.21,0.13,1277940,83,15345,0.3,1.08,55.72,-0.79,37.97,7627,-0.26,-1.01,56.22,0.83,37.87,7718
2,0.21,0.14,1450420,97,14889,0.33,0.56,71.48,-0.4,18.16,7385,-0.32,-0.55,71.72,0.41,17.56,7504
5,0.21,0.14,1220550,82,14889,0.28,0.81,59.49,-0.61,32.44,7385,-0.26,-0.76,59.85,0.62,31.14,7504
10,0.21,0.14,1247280,84,14889,0.3,1.09,55.65,-0.8,38.09,7385,-0.26,-1.02,56.29,0.83,37.94,7504
2,0.21,0.15,1412200,98,14397,0.33,0.57,71.42,-0.4,18.34,7132,-0.32,-0.55,71.73,0.42,17.6,7265
5,0.21,0.15,1189050,83,14397,0.28,0.81,59.41,-0.61,32.59,7132,-0.27,-0.77,59.93,0.62,31.19,7265
10,0.21,0.15,1213230,84,14397,0.31,1.1,55.68,-0.8,38.24,7132,-0.26,-1.02,56.3,0.84,38.1,7265
2,0.21,0.16,1367433,99,13859,0.33,0.57,71.47,-0.41,18.42,6857,-0.32,-0.56,71.44,0.42,17.85,7002
5,0.21,0.16,1149330,83,13859,0.29,0.82,59.44,-0.62,32.71,6857,-0.27,-0.78,59.8,0.63,31.43,7002
10,0.21,0.16,1171920,85,13859,0.31,1.12,55.71,-0.81,38.38,6857,-0.25,-1.03,56.18,0.86,38.2,7002
2,0.21,0.17,1326236,99,13342,0.34,0.58,71.32,-0.41,18.65,6601,-0.33,-0.56,71.61,0.43,17.92,6741
5,0.21,0.17,1113780,83,13342,0.29,0.83,59.17,-0.63,32.98,6601,-0.27,-0.78,59.86,0.63,31.46,6741
10,0.21,0.17,1130310,85,13342,0.31,1.13,55.61,-0.82,38.62,6601,-0.25,-1.04,56.22,0.87,38.29,6741
2,0.21,0.18,1281102,100,12779,0.34,0.58,71.44,-0.41,18.68,6326,-0.33,-0.57,71.72,0.43,17.88,6453
5,0.21,0.18,1074570,84,12779,0.29,0.84,59.12,-0.63,33.05,6326,-0.27,-0.79,59.97,0.64,31.64,6453
10,0.21,0.18,1092540,85,12779,0.31,1.14,55.58,-0.83,38.73,6326,-0.26,-1.05,56.41,0.88,38.15,6453
2,0.21,0.19,1235922,101,12226,0.34,0.59,71.39,-0.42,18.94,6060,-0.33,-0.57,71.91,0.43,18.13,6166
5,0.21,0.19,1039500,85,12226,0.29,0.85,59.19,-0.64,33.12,6060,-0.27,-0.8,59.97,0.65,31.67,6166
10,0.21,0.19,1052400,86,12226,0.32,1.15,55.76,-0.84,38.66,6060,-0.26,-1.07,56.13,0.89,38.44,6166
