pred_horizon_s,signal_thres,vol_thres,point_per_round,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
2,0.11,0.18,0.1888,190582,17,11454,0.189,0.3868,64.2736,-0.3102,19.2125,5892,-0.1886,-0.377,65.6239,0.3206,18.3387,5562
5,0.11,0.18,0.1666,114300,10,11454,0.1643,0.541,56.6022,-0.4509,31.4834,5892,-0.1691,-0.5264,58.8997,0.4738,29.7555,5562
10,0.11,0.18,0.1798,159750,14,11454,0.1743,0.7356,54.1921,-0.6139,36.5411,5892,-0.1857,-0.6922,57.3894,0.6204,34.1064,5562
2,0.11,0.19,0.1899,177142,17,10447,0.1899,0.3915,64.2072,-0.3148,19.5267,5367,-0.1898,-0.3808,65.748,0.3271,18.5039,5080
5,0.11,0.19,0.1694,113060,11,10447,0.1688,0.5492,56.7915,-0.4542,31.5074,5367,-0.1701,-0.5332,58.9173,0.4821,29.8819,5080
10,0.11,0.19,0.1828,155120,15,10447,0.1787,0.7465,54.3879,-0.6205,36.6313,5367,-0.1872,-0.7004,57.4016,0.6288,34.1732,5080
2,0.11,0.2,0.1909,164269,17,9516,0.1913,0.3953,64.3676,-0.3196,19.7503,4886,-0.1904,-0.3851,65.4644,0.3295,18.7257,4630
5,0.11,0.2,0.1708,106830,11,9516,0.1707,0.5607,56.5698,-0.4606,31.8052,4886,-0.1708,-0.5401,58.8985,0.4896,30.0864,4630
10,0.11,0.2,0.1854,148650,16,9516,0.1809,0.759,54.5231,-0.6345,36.7172,4886,-0.1902,-0.7104,57.4946,0.6355,34.3413,4630
2,0.11,0.21,0.1918,152022,18,8668,0.1927,0.4005,64.2426,-0.323,19.9821,4469,-0.1908,-0.3897,65.3727,0.3348,19.0998,4199
5,0.11,0.21,0.1706,97010,11,8668,0.1718,0.5711,56.3661,-0.4684,32.043,4469,-0.1694,-0.5482,58.4901,0.4966,30.4596,4199
10,0.11,0.21,0.1859,136610,16,8668,0.1845,0.7743,54.4193,-0.6407,36.9658,4469,-0.1873,-0.7207,57.2279,0.6452,34.8893,4199
2,0.11,0.22,0.1927,141522,18,7948,0.1927,0.4042,63.9756,-0.3288,20.0488,4100,-0.1927,-0.3953,65.2547,0.3368,19.3867,3848
5,0.11,0.22,0.1714,90860,11,7948,0.173,0.5757,56.5854,-0.4774,32,4100,-0.1698,-0.5541,58.316,0.5002,30.6653,3848
10,0.11,0.22,0.182,115970,15,7948,0.1811,0.7799,54.1951,-0.6495,37.1951,4100,-0.1829,-0.7256,56.9127,0.6484,35.473,3848
2,0.11,0.23,0.1938,131906,18,7272,0.1936,0.4099,63.7069,-0.3319,20.353,3739,-0.194,-0.3975,65.4967,0.3398,19.5301,3533
5,0.11,0.23,0.1692,78330,11,7272,0.1682,0.5839,55.924,-0.4826,32.8163,3739,-0.1704,-0.5593,58.3923,0.5055,30.9086,3533
10,0.11,0.23,0.1792,100110,14,7272,0.178,0.7915,54.0519,-0.6624,37.7106,3739,-0.1805,-0.731,56.8639,0.6583,35.7204,3533
